Canal,Nome vídeo,Data
Canal GNT,Watched Gil do Vigor fala sobre homofobia e religião | Papo Rápido | Papo de Segunda,2021-05-31 21:55:35.028
mikannn,Watched CRUELLA: QUAL É A DO FILME? (e entrevista com Emma Stone e Emma Thompson!!!),2021-05-31 21:36:48.439
Diva Depressão,Watched LENDO REVISTAS DE FOFOCAS ATUAIS | Diva Depressão,2021-05-31 20:50:27.971
JellyJugz,"Watched All Stark Reunions (Game of Thrones, Starks Reuniting)",2021-05-31 20:49:14.658
adsense,Watched Novos Sabores Hellmann's,2021-05-29 00:05:26.973
adsense,Watched Para pequenos grandes acontecimentos da atualidade | Veterinário | Uber,2021-05-27 22:41:28.377
Camisa 21,Watched O IMPOSSÍVEL ACONTECEU: O FIM DE UM MEME!,2021-05-27 20:51:46.559
randeDANDE,Watched Game of Thrones - The Red Wedding,2021-05-27 19:24:05.812
Camisa 21,Watched O IMPOSSÍVEL ACONTECEU: O FIM DE UM MEME!,2021-05-26 15:38:27.953
Gabriel Braico Dornas,"Watched Metabase - Deixe o sql de lado, click e arraste",2021-05-24 15:13:34.797
Bluesoft Labs,Watched Metabase | Wagner Alves | Papo Reto | T3E11,2021-05-24 15:07:14.200
adsense,Watched Fazemos tudo por você | Rappi | (Everything I Do) I Do It For You,2021-05-23 17:52:21.369
FBC,Watched FBC & VHOOR - De Kenner,2021-05-23 17:49:47.327
D4VIZ CITY,Watched SPECTRUM- Hino do SPFC(funk),2021-05-23 17:46:54.336
thestrokesVEVO,Watched The Strokes - Ode To The Mets (Official Video),2021-05-23 05:44:04.180
Jim Powers,"Watched ""Ode to the Mets (1st Time Live)"" The Strokes@Brooklyn, NY 12/31/19",2021-05-23 05:34:56.381
HarryAndAGuitar,Watched Selfless - The Strokes Cover,2021-05-23 05:33:54.659
Legendas Urbanas,Watched The Strokes - Selfless (Legendado em Português),2021-05-23 05:23:29.401
thestrokesVEVO,Watched The Strokes - Selfless (Audio),2021-05-23 05:23:12.455
